"Ano","Mes","Fuentes","Visitas"
2014,"Enero","Directo",1424
2014,"Enero","Referencias",61
2014,"Enero","SEO",754
2014,"Enero","Social Media",5
2014,"Febrero","Directo",1947
2014,"Febrero","Referencias",188
2014,"Febrero","SEO",1003
2014,"Febrero","Social Media",11
2014,"Marzo","Directo",4670
2014,"Marzo","Email",36
2014,"Marzo","Referencias",1919
2014,"Marzo","SEO",3977
2014,"Marzo","Social Media",136
2014,"Abril","Adwords",1
2014,"Abril","Directo",13292
2014,"Abril","Email",81
2014,"Abril","Referencias",2773
2014,"Abril","SEO",9299
2014,"Abril","Social Media",275
2014,"Mayo","Directo",6655
2014,"Mayo","Email",62
2014,"Mayo","Referencias",2753
2014,"Mayo","SEO",9614
2014,"Mayo","Social Media",67
2014,"Junio","Directo",5618
2014,"Junio","Email",51
2014,"Junio","Referencias",3098
2014,"Junio","SEO",9831
2014,"Junio","Social Media",50
2014,"Julio","Directo",3614
2014,"Julio","Email",54
2014,"Julio","Referencias",1454
2014,"Julio","SEO",6376
2014,"Julio","Social Media",42
2014,"Agosto","Directo",5173
2014,"Agosto","Email",95
2014,"Agosto","Referencias",1846
2014,"Agosto","SEO",7637
2014,"Agosto","Social Media",100
2014,"Setiembre","Directo",9865
2014,"Setiembre","Email",180
2014,"Setiembre","Referencias",10196
2014,"Setiembre","SEO",13171
2014,"Setiembre","Social Media",255
2014,"Octubre","Directo",8126
2014,"Octubre","Email",6753
2014,"Octubre","Referencias",15678
2014,"Octubre","SEO",11266
2014,"Octubre","Social Media",209
2014,"Noviembre","Adwords",22238
2014,"Noviembre","Campañas",1446
2014,"Noviembre","Directo",24237
2014,"Noviembre","Email",1552
2014,"Noviembre","Referencias",28547
2014,"Noviembre","SEO",66612
2014,"Noviembre","Social Media",5023
2014,"Diciembre","Adwords",71
2014,"Diciembre","Campañas",280
2014,"Diciembre","Directo",11610
2014,"Diciembre","Email",437
2014,"Diciembre","Referencias",13143
2014,"Diciembre","SEO",39837
2014,"Diciembre","Social Media",5981
2015,"Enero","Adwords",13
2015,"Enero","Campañas",18
2015,"Enero","Directo",7224
2015,"Enero","Email",253
2015,"Enero","Referencias",9274
2015,"Enero","SEO",24661
2015,"Enero","Social Media",442
2015,"Febrero","Adwords",13
2015,"Febrero","Campañas",1
2015,"Febrero","Directo",32123
2015,"Febrero","Email",139
2015,"Febrero","Referencias",18021
2015,"Febrero","SEO",29527
2015,"Febrero","Social Media",1296
2015,"Marzo","Adwords",4
2015,"Marzo","Directo",11394
2015,"Marzo","Email",1403
2015,"Marzo","Referencias",6816
2015,"Marzo","SEO",13079
2015,"Marzo","Social Media",163
